TOKEN                          ID                     membri  NOME CHE L'ID PROMETTE                      esempio di etichetta trattata
STR:kir3dl3                    HGNC:16312                 1  KIR3DL3                                     CD3+CD8+CD45RA+CCR7- (KIR3DL3+)
STR:gas5                       HGNC:16355                 1  GAS5                                        GAS5
STR:sox6                       HGNC:16421                 1  SOX6                                        SOX6
STR:lactb                      HGNC:16468                 1  LACTB                                       LACTB Overexpression
STR:znf589                     HGNC:16747                 1  ZNF589                                      MDAMB231 ZNF589
STR:nmnat_2                    HGNC:16789                 1  NMNAT2                                      FT194 NMNAT-2
STR:nsp1                       HGNC:16885                 1  SH2D3A                                      HEK293 NSP1 (1)
STR:topbp1                     HGNC:17008                 1  TOPBP1                                      TopBP1 Overexpression
STR:kdm4c                      HGNC:17071                 1  KDM4C                                       Huh7 KDM4C
STR:tab2                       HGNC:17075                 1  TAB2                                        TAB2 patient fibroblast
STR:dicer1                     HGNC:17098                 1  DICER1                                      DICER1
STR:fhl5                       HGNC:17371                 1  FHL5                                        HCASMC-hTERT with FHL5
STR:lcmt1                      HGNC:17557                 1  LCMT1                                       LNCAP parental over-expressing LCMT1
STR:tfcp2l1                    HGNC:17925                 1  TFCP2L1                                     TPC1, TFCP2L1 overexpression
STR:tpc1                       HGNC:18182                 1  TPCN1                                       Macrophages co-cultured with TPC1 cells for 24h
STR:rbfox1                     HGNC:18222                 1  RBFOX1                                      RBFOX1
STR:prmt6                      HGNC:18241                 1  PRMT6                                       PRMT6 knockdown
STR:hint2                      HGNC:18344                 1  HINT2                                       OCM1, HINT2
STR:lap3                       HGNC:18449                 1  LAP3                                        Lung Tissue Treated with LAP3
STR:nusap1                     HGNC:18538                 1  NUSAP1                                      PC-3 NUSAP1
STR:msi2                       HGNC:18585                 1  MSI2                                        Msi2 knockdown
STR:dcp1a                      HGNC:18714                 1  DCP1A                                       CD3+ T cells with DCP1A (Donor 1)
STR:rin1                       HGNC:18749                 1  RIN1                                        Jurkat cells treated with RIN1
STR:rig_i                      HGNC:19102                 1  RIGI                                        RIG-I 12H (four replicates)
STR:chd_2                      HGNC:1917                  1  CHD2                                        CHD_2 Treated
STR:chd_3                      HGNC:1918                  1  CHD3                                        CHD_3 Treated
STR:chd_4                      HGNC:1919                  1  CHD4                                        CHD_4 Treated
STR:chi3l1                     HGNC:1932                  1  CHI3L1                                      FTC-133 differentiated thyroid cancer cells treated with CHI
STR:trf3                       HGNC:19841                 1  TBPL2                                       cisplatin-resistant A549/DDP cells treated with TRF3
STR:adam22                     HGNC:201                   1  ADAM22                                      ADAM22
STR:clc4                       HGNC:2022                  1  CLCN4                                       HCC CLC4
STR:clc5                       HGNC:2023                  1  CLCN5                                       HCC CLC5
STR:clc6                       HGNC:2024                  1  CLCN6                                       HCC CLC6
STR:clc7                       HGNC:2025                  1  CLCN7                                       HCC CLC7
STR:pspc1                      HGNC:20320                 1  PSPC1                                       SK-Hep1 PSPC1
STR:znf419                     HGNC:20648                 1  ZNF419                                      A549 cells with ZNF419 overexpression
STR:zdhhc20                    HGNC:20749                 1  ZDHHC20                                     PANC-1 cells with ZDHHC20 knockdown
STR:znf440                     HGNC:20874                 1  ZNF440                                      A549 cells with ZNF440 overexpression
STR:znf445                     HGNC:21018                 1  ZNF445                                      A549 cells with ZNF445 overexpression
STR:znf804a                    HGNC:21711                 1  ZNF804A                                     ZNF804A-/- + NGN2 overexpression + Wnt/SMADi + CRISPR
STR:adar2                      HGNC:226                   1  ADARB1                                      Kasumi1 cells treated with ADAR2
STR:u2af65                     HGNC:23156                 1  U2AF2                                       U2AF65
STR:hbp1                       HGNC:23200                 1  HBP1                                        H6c7 cells transduced with HBP1 lentiviral vector
STR:prmt4                      HGNC:23393                 1  CARM1                                       PRMT4 knockdown
STR:med3                       HGNC:2377                  1  MED27                                       BT549 + MED3
STR:ad24                       HGNC:24034                 1  NOC3L                                       iPSCs AD24
STR:cart                       HGNC:24323                 1  CARTPT                                      CART
STR:g_csf                      HGNC:2438                  1  CSF3                                        G-CSF stimulated
STR:csrp1                      HGNC:2469                  1  CSRP1                                       Human MSCs CSRP1
STR:fam46c                     HGNC:24712                 1  TENT5C                                      KMS11 FAM46C
STR:zcchc8                     HGNC:25265                 1  ZCCHC8                                      ZCCHC8
STR:pde12                      HGNC:25386                 1  PDE12                                       PDE12 knockout HEK293T cells
STR:prmt7                      HGNC:25557                 1  PRMT7                                       PRMT7 knockdown
STR:ogfod1                     HGNC:25585                 1  OGFOD1                                      MDA-MB-231 OGFOD1-/-
STR:cpped1                     HGNC:25632                 1  CPPED1                                      HTR8/Svneo + CPPED1
STR:znf669                     HGNC:25736                 1  ZNF669                                      A549 cells with ZNF669 overexpression
STR:iwr1                       HGNC:25807                 1  SLC7A6OS                                    Hematopoietic progenitor cells derived from iPSCs treated wi
STR:rnf186                     HGNC:25978                 1  RNF186                                      RNF186
STR:alkbh5                     HGNC:25996                 1  ALKBH5                                      ALKBH5 knockdown
STR:znf582                     HGNC:26421                 1  ZNF582                                      A549 cells with ZNF582 overexpression
STR:hit4                       HGNC:26573                 1  ZNF597                                      Hit4
STR:znf610                     HGNC:26687                 1  ZNF610                                      A549 cells with ZNF610 overexpression
STR:mroh1                      HGNC:26958                 1  MROH1                                       MROH1-treated HepG2
STR:znf846                     HGNC:27260                 1  ZNF846                                      A549 cells with ZNF846 overexpression
STR:ddx5                       HGNC:2746                  1  DDX5                                        K562_DDX5_disease_model
STR:hnp1                       HGNC:2761                  1  DEFA1                                       HNP1-treated
STR:znf605                     HGNC:28068                 1  ZNF605                                      A549 cells with ZNF605 overexpression
STR:dlgap1_as2                 HGNC:28146                 1  DLGAP1-AS2                                  KYSE450 DLGAP1-AS2
STR:sms2                       HGNC:28395                 1  SGMS2                                       SMS2
STR:glis3                      HGNC:28510                 1  GLIS3                                       late pancreatic beta-like cells GLIS3-/-
STR:r_spondin2                 HGNC:28583                 1  RSPO2                                       R-spondin2 (1 day)
STR:znf611                     HGNC:28766                 1  ZNF611                                      A549 cells with ZNF611 overexpression
STR:znf682                     HGNC:28857                 1  ZNF682                                      A549 cells with ZNF682 overexpression
STR:dlk1                       HGNC:2907                  1  DLK1                                        MEL1 iPSC-derived cells, Day 23, DLK1 perturbation
STR:lsd1                       HGNC:29079                 1  KDM1A                                       LSD1, iPSC_derived
STR:shap                       HGNC:29215                 1  SHROOM4                                     Treated (SHAP)
STR:ccser1                     HGNC:29349                 1  CCSER1                                      CCSER1
STR:tet1                       HGNC:29484                 1  TET1                                        TET1 activated
STR:bud31                      HGNC:29629                 1  BUD31                                       HEYA8 BUD31
STR:mir_16                     HGNC:29644                 1  GDE1                                        miR-16
STR:mlk4                       HGNC:29798                 1  MAP3K21                                     MLK4
STR:prmt3                      HGNC:30163                 1  PRMT3                                       PRMT3 knockdown
STR:shroom3                    HGNC:30422                 1  SHROOM3                                     hiF-Ts, passage 20-30, SHROOM3, Day12
STR:naprt                      HGNC:30450                 1  NAPRT                                       NAPRT Treated Human Macrophages
STR:xrn1                       HGNC:30654                 1  XRN1                                        Xrn1 knockdown
STR:tut3                       HGNC:30758                 1  TENT4B                                      TUT3 (30h)
STR:ebf1                       HGNC:3126                  1  EBF1                                        AGS + EBF1
STR:tymp                       HGNC:3148                  1  TYMP                                        TYMP-treated
STR:hsa_mir_137                HGNC:31523                 1  MIR137                                      HepG2 hsa-miR-137
STR:mir_15a                    HGNC:31543                 1  MIR15A                                      miR-15a
STR:hsa_mir_184                HGNC:31555                 1  MIR184                                      HepG2 hsa-miR-184
STR:mir20a                     HGNC:31577                 1  MIR20A                                      mir20a_D1
STR:hsa_mir_217                HGNC:31594                 1  MIR217                                      HepG2 hsa-miR-217
STR:mir_34a                    HGNC:31635                 1  MIR34A                                      NCI-H1299 miR-34a
STR:mir340                     HGNC:31777                 1  MIR340                                      miR340 Overexpression
STR:mir_494                    HGNC:32084                 1  MIR494                                      HeLa miR-494 overexpression
STR:lin28b                     HGNC:32207                 1  LIN28B                                      Primary culture from Ewing sarcoma, LIN28B overexpression
STR:znf808                     HGNC:33230                 1  ZNF808                                      A549 cells with ZNF808 overexpression
STR:hotair                     HGNC:33510                 1  HOTAIR                                      hTERT-immortalized mesenchymal stem cell, HOTAIR
STR:hsa_mir_147b               HGNC:33655                 1  MIR147B                                     HepG2 hsa-miR-147b
STR:her2                       HGNC:3430                  1  ERBB2                                       HER2 Tumor Breast Tissue
STR:esm1                       HGNC:3466                  1  ESM1                                        ESM1 Overexpression
STR:eralpha                    HGNC:3467                  1  ESR1                                        ERalpha
STR:fabp4                      HGNC:3559                  1  FABP4                                       C28/I2 chondrocyte + FABP4
STR:fads2                      HGNC:3575                  1  FADS2                                       FADS2 Knockout
STR:fgf21                      HGNC:3678                  1  FGF21                                       FGF21-treated iPSC-derived neurons
STR:akap95                     HGNC:378                   1  AKAP8                                       AKAP95
STR:foxc1                      HGNC:3800                  1  FOXC1                                       FOXC1 Overexpression
STR:foxf2                      HGNC:3810                  1  FOXF2                                       FOXF2 Overexpression
STR:follistatin                HGNC:3971                  1  FST                                         Follistatin
STR:gata_1                     HGNC:4170                  1  GATA1                                       BT549 + GATA 1
STR:gata_2                     HGNC:4171                  1  GATA2                                       BT549 + GATA 2
STR:gata2                      HGNC:4171                  1  GATA2                                       GATA2 patient fibroblast
STR:gata3                      HGNC:4172                  1  GATA3                                       BT549 + GATA3
STR:norad                      HGNC:44311                 1  NORAD                                       NORAD Knockout HCT116
STR:gpx1                       HGNC:4553                  1  GPX1                                        HS578T Gpx1-/-
STR:grid2                      HGNC:4576                  1  GRID2                                       GRID2
STR:hemoglobin_subunit_gamma_1 HGNC:4831                  1  HBG1                                        HEK 293T cells overexpressing Hemoglobin subunit gamma-1
STR:chaserr                    HGNC:48626                 1  CHASERR                                     T98G cells with CHASERR
STR:angptl2                    HGNC:490                   1  ANGPTL2                                     ANGPTL2 Stimulated
STR:hnf4a_as1                  HGNC:49505                 1  HNF4A-AS1                                   HNF4A-AS1 Overexpression
STR:hmgb2                      HGNC:5000                  1  HMGB2                                       HMGB2 overexpression
STR:foxa1                      HGNC:5021                  1  FOXA1                                       ZR75-1_endocrine-sensitive_parental_FOXA1_Dox
STR:foxa3                      HGNC:5023                  1  FOXA3                                       HepG2_FOXA3_7days
STR:hnf4a                      HGNC:5024                  1  HNF4A                                       HepG2_HNF4A_7days
STR:hnrnpa2b1                  HGNC:5033                  1  HNRNPA2B1                                   HeLa HNRNPA2B1 knockdown
STR:hnrnp_k                    HGNC:5044                  1  HNRNPK                                      HEK293 + hnRNP-K
STR:hnrnpk                     HGNC:5044                  1  HNRNPK                                      RKO cells with hnRNPK knockout
STR:gata2_as1                  HGNC:51108                 1  GATA2-AS1                                   BE(2)-C passage 15-18 GATA2-AS1
STR:mzf1_as1                   HGNC:51271                 1  MZF1-AS1                                    MZF1-AS1 Overexpression
STR:prmt1                      HGNC:5187                  1  PRMT1                                       PRMT1 knockdown
STR:tcons_00001221             HGNC:55459                 1  CBSLR                                       tcons_00001221
STR:itga5                      HGNC:6141                  1  ITGA5                                       LIU-LSC-1 ITGA5-/-
STR:jun_d                      HGNC:6206                  1  JUND                                        PC3 bone metastasis cells with Jun-D overexpression
STR:kv1_5                      HGNC:6224                  1  KCNA5                                       Kv1.5 overexpression
STR:kir2_1                     HGNC:6263                  1  KCNJ2                                       Kir2.1 overexpression
STR:arf_2                      HGNC:655                   1  ARF4                                        ARF_2 Treated
STR:arf_4                      HGNC:655                   1  ARF4                                        ARF_4 Treated
STR:arf_5                      HGNC:658                   1  ARF5                                        ARF_5 Treated
STR:lmnb1                      HGNC:6637                  1  LMNB1                                       LMNB1-/-
STR:lmo1                       HGNC:6641                  1  LMO1                                        Be2C LMO1
STR:lmo2                       HGNC:6642                  1  LMO2                                        LMO2 Overexpression
STR:mage_a11                   HGNC:6798                  1  MAGEA11                                     DAOY MAGE-A11 single
STR:mapk1                      HGNC:6871                  1  MAPK1                                       MAPK1
STR:mbd2                       HGNC:6917                  1  MBD2                                        MBD2
STR:mitf                       HGNC:7105                  1  MITF                                        HUH7 cells treated with mitF
STR:msi1                       HGNC:7330                  1  MSI1                                        Msi1 knockdown
STR:cmyc                       HGNC:7553                  1  MYC                                         NCI-H1963 cMYC
STR:mycn                       HGNC:7559                  1  MYCN                                        GIMEN MYCN
STR:myr1                       HGNC:7596                  1  MYO1B                                       HFF infected with myr1 parasites
STR:myoc                       HGNC:7610                  1  MYOC                                        MYOC
STR:ntrk1                      HGNC:8031                  1  NTRK1                                       NTRK1 overexpression
STR:onecut2                    HGNC:8139                  1  ONECUT2                                     AGS ONECUT2
STR:ovol1                      HGNC:8525                  1  OVOL1                                       OVOL1
STR:opmd                       HGNC:8565                  1  PABPN1                                      OPMD Case
STR:pai1                       HGNC:8583                  1  SERPINE1                                    SUM159 cells expressing PAI1
STR:pax1                       HGNC:8615                  1  PAX1                                        PAX1 (24h)
STR:pax3                       HGNC:8617                  1  PAX3                                        PAX3 (24h)
STR:pcnx2                      HGNC:8736                  1  PCNX2                                       PCNX2
STR:g_rb1                      HGNC:8979                  1  PIK3R1                                      G-Rb1-treated human dental pulp cells
STR:ppard                      HGNC:9235                  1  PPARD                                       PPARD (Endometrium Transgene)
STR:pp1_beta                   HGNC:9282                  1  PPP1CB                                      early pancreatic beta-like cells WT INS-GFP+ PP1-beta
STR:ampka1                     HGNC:9376                  1  PRKAA1                                      AMPKa1 knockdown
STR:ampka2                     HGNC:9377                  1  PRKAA2                                      AMPKa2 knockdown
STR:prkab1                     HGNC:9378                  1  PRKAB1                                      PRKAB1-/-
STR:prkab2                     HGNC:9379                  1  PRKAB2                                      PRKAB2-/-
STR:psmb8                      HGNC:9545                  1  PSMB8                                       SW620 PSMB8
STR:ptk6                       HGNC:9617                  1  PTK6                                        SK-Hep1 PTK6
STR:fox_2                      HGNC:9906                  1  RBFOX2                                      Hap1 FOX_2
STR:bclxl                      HGNC:992                   1  BCL2L1                                      Fibroblast line 1 (CL1500023) - Bclxl
STR:dsrbd                      MeSH:D000071241            1  Double-Stranded RNA Binding Motif           Kasumi1 cells treated with dsRBD
STR:trisomy_13                 MeSH:D000073839            1  Trisomy 13 Syndrome                         Trisomy 13
STR:omacetaxine                MeSH:D000077863            1  Homoharringtonine                           Omacetaxine
STR:latent_infection           MeSH:D000085343            1  Latent Infection                            Latent Infection Donor 1
STR:stress_granules            MeSH:D000088162            1  Stress Granules                             CD3+ T cells with Stress Granules (Donor 1)
STR:decellularized_ecm         MeSH:D000091083            1  Decellularized Extracellular Matrix         Pediatric small intestine mucosa on decellularized ECM
STR:interferon_lambda          MeSH:D000095022            1  Interferon Lambda                           Interferon-lambda
STR:bluelight                  MeSH:D000095743            1  Blue Light                                  Bluelight
STR:acidosis                   MeSH:D000138               1  Acidosis                                    Acidosis-treated
STR:lactic_acidosis            MeSH:D000140               1  Acidosis, Lactic                            Lactic acidosis-treated
STR:acromegaly                 MeSH:D000172               1  Acromegaly                                  Acromegaly
STR:3_mcpd                     MeSH:D000517               1  alpha-Chlorohydrin                          3-MCPD
STR:amyotrophic_lateral_sclero MeSH:D000690               1  Amyotrophic Lateral Sclerosis               ALS Patients (no treatment)
STR:aortic_aneurysm            MeSH:D001014               1  Aortic Aneurysm                             Aortic aneurysm
STR:aortitis                   MeSH:D001025               1  Aortitis                                    Aortitis
STR:arteriovenous_malformation MeSH:D001165               1  Arteriovenous Malformations                 Endothelial cells from AVM patients
STR:ascites                    MeSH:D001201               1  Ascites                                     NK cells from donor 1 exposed to Ascites
STR:astrocytes                 MeSH:D001253               1  Astrocytes                                  PC9-BrM3 with astrocytes
STR:bileacids                  MeSH:D001647               1  Bile Acids and Salts                        T84 cells treated with Bile Acids for 4 hours
STR:breast_cancer              MeSH:D001943               1  Breast Neoplasms                            T47D + Breast cancer
STR:bronchitis                 MeSH:D001991               1  Bronchitis                                  Bronchitis Patients
STR:brucellosis                MeSH:D002006               1  Brucellosis                                 Brucellosis patient 1
STR:marmoset                   MeSH:D002144               1  Callithrix                                  marmoset FOXP2 overexpression
STR:candy                      MeSH:D002182               1  Candy                                       Calu-3 treated with CaNDY
STR:dcis                       MeSH:D002285               1  Carcinoma, Intraductal, Noninfiltrating     DCIS (untreated)
STR:intracranial_aneurysm      MeSH:D002532               1  Intracranial Aneurysm                       Intracranial aneurysm wall tissue
STR:chimpanzee                 MeSH:D002679               1  Pan troglodytes                             chimpanzee FOXP2 overexpression
STR:cholesteatoma              MeSH:D002781               1  Cholesteatoma                               Cholesteatoma (permatrix)
STR:chondrosarcoma             MeSH:D002813               1  Chondrosarcoma                              Chondrosarcoma (Chondrosarcoma)
STR:coccidiosis                MeSH:D003048               1  Coccidiosis                                 Coccidiosis lung
STR:colitis                    MeSH:D003092               1  Colitis                                     Colon fibroblast - Colitis
STR:comb                       MeSH:D003129               1  Comb and Wattles                            HK-374 Glioblastoma Primary Culture, COMB Treatment, 48h
STR:constipation               MeSH:D003248               1  Constipation                                Constipation (Donor 10007589-1)
STR:dnase                      MeSH:D003851               1  Deoxyribonucleases                          DNase-treated Akata cells
STR:major_depressive_disorder  MeSH:D003865               1  Depressive Disorder, Major                  Major Depressive Disorder Patients
STR:diabetes_mellitus          MeSH:D003920               1  Diabetes Mellitus                           Diabetes Mellitus 1
STR:diagnosis                  MeSH:D003933               1  Diagnosis                                   Pediatric AML Diagnosis
STR:diarrhea                   MeSH:D003967               1  Diarrhea                                    Diarrhea (Donor 10007584-1)
STR:digestion                  MeSH:D004063               1  Digestion                                   hES2 hESC-macrophages digested
STR:emcv                       MeSH:D004686               1  Encephalomyocarditis virus                  HeLa_EMCV_24h
STR:erythroblasts              MeSH:D004900               1  Erythroblasts                               Insulin sensitive, Erythroblasts
STR:esophagus_cancer           MeSH:D004938               1  Esophageal Neoplasms                        Esophagus Cancer patient
STR:esophagitis                MeSH:D004941               1  Esophagitis                                 Esophagitis Exosomes
STR:fibromyalgia               MeSH:D005356               1  Fibromyalgia                                Fibromyalgia patients at week 0
STR:fragile_x_syndrome         MeSH:D005600               1  Fragile X Syndrome                          Fragile X Syndrome iPS-derived motor neurons (drug-adapted)
STR:frontal_lobe               MeSH:D005625               1  Frontal Lobe                                frontal lobe
STR:gamma_radiation            MeSH:D005720               1  Gamma Rays                                  Gamma radiation 4 Gy
STR:headache                   MeSH:D006261               1  Headache                                    headache Later Surveillance
STR:heat                       MeSH:D006358               1  Hot Temperature                             Heat-treated
STR:hepatocellular_carcinoma   MeSH:D006528               1  Carcinoma, Hepatocellular                   HepG2 CRISPR gRNA against ATP5A1 (case)
STR:holiday                    MeSH:D006693               1  Holidays                                    WM989 cells treated with holiday
STR:hyperbilirubinemia         MeSH:D006932               1  Hyperbilirubinemia                          Hyperbilirubinemia
STR:immunization               MeSH:D007114               1  Immunization                                Immunization Screen 3
STR:trisomy_xxy                MeSH:D007713               1  Klinefelter Syndrome                        Trisomy XXY
STR:leishmaniasis              MeSH:D007896               1  Leishmaniasis                               Leishmaniasis patient 1
STR:leprosy                    MeSH:D007918               1  Leprosy                                     Leprosy patient RR1
STR:luciferase                 MeSH:D008156               1  Luciferases                                 IMR90 luciferase reporter
STR:lung_cancer                MeSH:D008175               1  Lung Neoplasms                              Lung Cancer patient (LUAD-2379275)
STR:lupus_nephritis            MeSH:D008181               1  Lupus Nephritis                             Lupus nephritis
STR:lcmv                       MeSH:D008217               1  Lymphocytic choriomeningitis virus          LCMV-exposed A549 cells
STR:rhesus_monkey              MeSH:D008253               1  Macaca mulatta                              rhesus monkey FOXP2 overexpression
STR:marfan_syndrome            MeSH:D008382               1  Marfan Syndrome                             Marfan Syndrome patient
STR:memory                     MeSH:D008568               1  Memory                                      Oral mucosa memory CD4 T cells CD69-
STR:meningioma_benign          MeSH:D008579               1  Meningioma                                  Meningioma
STR:hgcl2                      MeSH:D008627               1  Mercuric Chloride                           H1299 cells treated with HgCl2
STR:microcephaly               MeSH:D008831               1  Microcephaly                                Microcephaly (ZIKV)
STR:mite                       MeSH:D008925               1  Mites                                       HUH7 cells treated with mitE
STR:mitral_valve_prolapse      MeSH:D008945               1  Mitral Valve Prolapse                       mitral valve prolapse patient
STR:myositis                   MeSH:D009220               1  Myositis                                    Jo_1
STR:nasal_polyps               MeSH:D009298               1  Nasal Polyps                                Nasal polyps
STR:nephrectomy                MeSH:D009392               1  Nephrectomy                                 Kidney Tissue Post-Nephrectomy
STR:nevus                      MeSH:D009506               1  Nevus                                       Nevus skin (facial region)
STR:omentum                    MeSH:D009852               1  Omentum                                     Omentum tumor
STR:osteoporosis               MeSH:D010024               1  Osteoporosis                                Osteoporosis
STR:pancreatic_carcinoma       MeSH:D010190               1  Pancreatic Neoplasms                        PANC1_human_pancreatic_carcinoma_case
STR:peritoneum                 MeSH:D010537               1  Peritoneum                                  Peritoneum CRPC Metastasis
STR:pleura                     MeSH:D010994               1  Pleura                                      Pleura CRPC Metastasis
STR:pneumonia                  MeSH:D011014               1  Pneumonia                                   Pneumonia Patient P1
STR:polysome                   MeSH:D011132               1  Polyribosomes                               Healthy Control Polysome
STR:pregnancy                  MeSH:D011247               1  Pregnancy                                   Healthy Pregnant Women (Pregnancy)
STR:pterygium                  MeSH:D011625               1  Pterygium                                   Pterygium Tissue
STR:pulpitis                   MeSH:D011671               1  Pulpitis                                    Pulpitis
STR:radiation_therapy          MeSH:D011878               1  Radiotherapy                                radiation therapy
STR:kaposi_s_sarcoma           MeSH:D012514               1  Sarcoma, Kaposi                             Kaposi’s sarcoma tissue
STR:systemic_sclerosis         MeSH:D012595               1  Scleroderma, Systemic                       Systemic Sclerosis Dermal Fibroblasts
STR:sleep_deprivation          MeSH:D012892               1  Sleep Deprivation                           Sleep Deprivation
STR:space_flight               MeSH:D013026               1  Space Flight                                space flight
STR:stemcell                   MeSH:D013234               1  Stem Cells                                  STEMCELL-treated engineered iPSCs
STR:mechanical_stress          MeSH:D013314               1  Stress, Mechanical                          Mechanical Stress
STR:suspension                 MeSH:D013535               1  Suspensions                                 Control (Suspension)
STR:vitiligo                   MeSH:D014820               1  Vitiligo                                    Vitiligo melanocytes
STR:wart                       MeSH:D014860               1  Warts                                       Wart Case
STR:x_rays                     MeSH:D014965               1  X-Rays                                      U87MG cells treated with X-rays
STR:gastric_bypass             MeSH:D015390               1  Gastric Bypass                              gastric bypass
STR:glycation                  MeSH:D015416               1  Maillard Reaction                           Human fibroblasts with glycated collagen
STR:reperfusion                MeSH:D015424               1  Reperfusion                                 Reperfusion
STR:hiv_1                      MeSH:D015497               1  HIV-1                                       HeLa_HIV-1
STR:ch50                       MeSH:D015941               1  Complement Hemolytic Activity Assay         CH50
STR:s_phase                    MeSH:D016196               1  S Phase                                     Hct116 colon cancer cells in S-phase
STR:scid_mice                  MeSH:D016513               1  Mice, SCID                                  SKMEL28 xenograft tissue in SCID mice
STR:antiphospholipid_syndrome  MeSH:D016736               1  Antiphospholipid Syndrome                   Primary Antiphospholipid Syndrome Neutrophils
STR:ischemic_heart_disease     MeSH:D017202               1  Myocardial Ischemia                         ischemic heart disease (60A)
STR:polymyositis               MeSH:D017285               1  Polymyositis                                Polymyositis Case
STR:gliosarcoma                MeSH:D018316               1  Gliosarcoma                                 Gliosarcoma cerebrum
STR:angiofibroma               MeSH:D018322               1  Angiofibroma                                Angiofibroma (Leg)
STR:il12                       MeSH:D018664               1  Interleukin-12                              IL12
STR:bioreactor                 MeSH:D019149               1  Bioreactors                                 Mesenchymal stromal cells in bioreactor
STR:epstein_barr_virus_infecti MeSH:D020031               1  Epstein-Barr Virus Infections               GES1 + EBV
STR:promyelocytes              MeSH:D042381               1  Granulocyte Precursor Cells                 FACS sorted CD (45+/34-/33+/11b-/15+) (iPSC derived, promyel
STR:irritable_bowel_syndrome   MeSH:D043183               1  Irritable Bowel Syndrome                    Irritable bowel syndrome
STR:cytokinesis                MeSH:D048749               1  Cytokinesis                                 U2OS cells treated with Cytokinesis
STR:prometaphase               MeSH:D049468               1  Prometaphase                                Prometaphase synchronized U2OS cells
STR:oncolytic_virus            MeSH:D050504               1  Oncolytic Viruses                           Glioblastoma with oncolytic virus
STR:alpha_synuclein            MeSH:D051844               1  alpha-Synuclein                             alpha-synuclein overexpressed
STR:particulate_matter         MeSH:D052638               1  Particulate Matter                          Primary human melanocytes with particulate matter
STR:trophozoites               MeSH:D053058               1  Trophozoites                                Trophozoites Treated
STR:acute_coronary_syndrome    MeSH:D054058               1  Acute Coronary Syndrome                     Acute Coronary Syndrome
STR:t_all                      MeSH:D054218               1  Precursor T-Cell Lymphoblastic Leukemia-Ly  Bone Marrow T-ALL
STR:vagus_nerve_stimulation    MeSH:D055536               1  Vagus Nerve Stimulation                     Vagus nerve stimulation
STR:hcov_nl63                  MeSH:D058957               1  Coronavirus NL63, Human                     HCoV-NL63 96hpi
STR:biosimilar                 MeSH:D059451               1  Biosimilar Pharmaceuticals                  BT-474 Biosimilar treated
STR:telomere_shortening        MeSH:D059506               1  Telomere Shortening                         Telomere shortening
STR:co_infection               MeSH:D060085               1  Coinfection                                 Co-infection (Blood)
STR:lncrna                     MeSH:D062085               1  RNA, Long Noncoding                         H9 lncRNA
STR:lipoblastoma               MeSH:D062689               1  Lipoblastoma                                Lipoblastoma (Thigh)
STR:neutrophil_extracellular_t MeSH:D065206               1  Extracellular Traps                         AGS cells exposed to neutrophil extracellular traps
STR:adenocarcinoma_in_situ     MeSH:D065311               1  Adenocarcinoma in Situ                      Adenocarcinoma In Situ
STR:in_vitro                   MeSH:D066298               1  In Vitro Techniques                         In Vitro
STR:h5n1                       NCBITaxon:102793           1  h5n1subtype                                 A549 cells exposed to H5N1
STR:h7n9                       NCBITaxon:333278           1  h7n9subtype                                 H7N9 infected
