"cluster_id","contrast_entity","contrast_entity_label","contrast_entity_label_source","contrast_entity_label_note","canonical_name","contrast_direction","contrast_control_key","k_effective","k_kish","frazione_efficace","quota_top1","dominato","studio_dominante","classe_studio_dominante","dominato_da_modello","materiale_misto","n_studi_model","n_studi_primary","n_studi_unknown","n_sig","I2_med","coherence_verdict","coherence_reason","n_studi_censiti","n_studi_poolati","stessi_membri","studi_caduti"
"cgroup_L5_a739837c","STR:adenoma","adenoma","str_literal",NA,"pituitary adenoma","gain","vehicle_untreated",3,1.86,0.621,0.6609,TRUE,"GSE222298","unknown",FALSE,TRUE,1,1,1,65,0,"incoherent","resta incoerente sul poolato: e' caduto GSE77635 (adenoma del colon) ma restano insieme adenoma ipofisario (GSE208107) e adenoma del colon (GSE72820), piu' GSE222298 la cui sede non e' deducibile dalle etichette",4,3,FALSE,"GSE77635"
"cgroup_L5_aad8ed47","COMBO:taz+yap","taz + yap","combo_parts",NA,"YAP1","block","control sirna",3,2.73,0.91,0.4456,FALSE,"GSE205726","unknown",FALSE,FALSE,1,0,2,3058,79.3677533896979,"coherent",NA,3,3,TRUE,""
"cgroup_L5_ae969461","CHEBI:47458","saracatinib","chebi",NA,"saracatinib","gain","vehicle_untreated",3,1.92,0.641,0.6343,TRUE,"GSE226664","unknown",FALSE,FALSE,1,0,2,1706,85.8382496150958,"coherent",NA,3,3,TRUE,""
"cgroup_L5_b9e7806c","CHEBI:143122","THZ531","chebi",NA,"THZ531","gain","vehicle_untreated",3,1.9,0.949,0.63,TRUE,"GSE221475","unknown",FALSE,FALSE,0,0,3,1893,95.1493839272595,"coherent",NA,7,3,FALSE,"GSE135960 GSE181905 GSE222493 GSE234734"
"cgroup_L5_cf34c533","CHEBI:46742","Nutlin-3","chebi",NA,"Nutlin-3","gain","vehicle_untreated",3,1.89,0.629,0.6603,TRUE,"GSE154118","unknown",FALSE,FALSE,1,0,2,2810,12.4958812736146,"coherent",NA,5,3,FALSE,"GSE108406 GSE154101"
"cgroup_L5_d28620cd","CHEBI:15738","staurosporine","chebi",NA,"staurosporine","gain","vehicle_untreated",3,2.31,0.769,0.5667,TRUE,"GSE241595","unknown",FALSE,FALSE,2,0,1,1859,26.6422590420713,"coherent",NA,3,3,TRUE,""
"cgroup_L5_d53bf74e","MeSH:D008224","Lymphoma, Follicular","mesh",NA,"Lymphoma, Follicular","gain","vehicle_untreated",3,1.65,0.549,0.7513,TRUE,"GSE148656","model",FALSE,FALSE,2,0,1,1972,72.4023493901074,"coherent",NA,3,3,TRUE,""
"cgroup_L5_d631ee89","HGNC:6011","IL3","hgnc",NA,"IL3","gain","vehicle_untreated",3,1.82,0.607,0.6884,TRUE,"GSE159782","primary",FALSE,FALSE,0,2,1,314,85.2288893657581,"incoherent","PEGGIORATO dal pooling: e' caduto uno studio di IL-3 vera (GSE110041) mentre resta GSE93620, dove 'iL3' sono le larve infettive di stadio 3 del nematode A. ceylanicum. Sui 3 studi poolati, 1 non e' l'interleuchina",4,3,FALSE,"GSE110041"
"cgroup_L5_d7abf612","CHEBI:28201","rotenone","chebi",NA,"2-hexaprenyl-6-methoxy-1,4-benzoquinone","gain","vehicle_untreated",3,1.65,0.551,0.7316,TRUE,"GSE126750","unknown",FALSE,FALSE,1,0,2,196,34.4065240416051,"coherent",NA,3,3,TRUE,""
"cgroup_L5_d8006c5b","CHEBI:31941","oxaliplatin","chebi",NA,"oxaliplatin","gain","vehicle_untreated",3,2.05,0.682,0.5583,TRUE,"GSE227609","unknown",FALSE,FALSE,1,0,2,655,79.3435732319118,"coherent",NA,4,3,FALSE,"GSE160812"
"cgroup_L5_dd2a13de","STR:idiopathic_pulmonary_fibrosis","idiopathic pulmonary fibrosis","str_literal",NA,"idiopathic pulmonary fibrosis","gain","vehicle_untreated",3,1.95,0.974,0.6174,TRUE,"GSE99621","primary",FALSE,FALSE,0,2,1,19,0.00598536174187789,"coherent",NA,7,3,FALSE,"GSE185259 GSE231693 GSE73189 GSE92592"
"cgroup_L5_debadb13","NCBITaxon:10407","hepatitis B virus","override","dizionario: hepatitisbvirus","hepatitis B virus","gain","vehicle_untreated",3,1.74,0.868,0.6948,TRUE,"GSE93153","unknown",FALSE,FALSE,1,0,2,23,0.00012480870407773,"coherent",NA,4,3,FALSE,"GSE205567"
"cgroup_L5_e16bfa7f","CHEMBL:CHEMBL4297454","ABBV-744","chembl",NA,"ABBV-744","gain","vehicle_untreated",3,2.4,0.801,0.5265,TRUE,"GSE144326","model",FALSE,FALSE,1,0,2,1588,71.9658717775275,"coherent",NA,3,3,TRUE,""
"cgroup_L5_e17c136b","CHEBI:145535","pevonedistat","chebi",NA,"pevonedistat","gain","vehicle_untreated",3,2.65,0.884,0.4754,FALSE,"GSE206428","model",FALSE,FALSE,1,0,2,1037,87.5039318710081,"coherent",NA,4,3,FALSE,"GSE171250"
"cgroup_L5_e294a3bc","CHEBI:49852","DRB","override","nome sistematico ChEBI: 5;6-dichloro-1-beta-D-ribofuranosyl-1H-benzimidazole","DRB","gain","vehicle_untreated",3,1.8,0.599,0.7022,TRUE,"GSE153303","unknown",FALSE,FALSE,1,0,2,2571,74.9144075809437,"coherent",NA,5,3,FALSE,"GSE115862 GSE141496"
"cgroup_L5_e7eebebd","STR:steatotic","steatotic","str_literal",NA,"steatotic","gain","vehicle_untreated",3,1.52,0.508,0.7932,TRUE,"GSE204919","primary",FALSE,TRUE,1,2,0,1027,50.3354761490081,"coherent",NA,3,3,TRUE,""
"cgroup_L5_ea4a1823","CHEBI:22984","calcium atom","chebi",NA,"calcium atom","gain","vehicle_untreated",3,2.68,0.894,0.4372,FALSE,"GSE228631","unknown",FALSE,FALSE,0,0,3,2767,95.4140579690751,"coherent",NA,3,3,TRUE,""
"cgroup_L5_ee94648c","NCBITaxon:562","Escherichia coli","override","dizionario: senza spazi","Escherichia coli","gain","vehicle_untreated",3,1.94,0.648,0.6439,TRUE,"GSE222117","model",FALSE,FALSE,1,0,2,1518,43.015029067839,"coherent",NA,6,3,FALSE,"GSE101880 GSE126757 GSE130152"
"cgroup_L5_eedd08cb","STR:sirna_pool_against_igf2bp1","sirna pool against igf2bp1","str_literal",NA,"IGF2BP1","block","control sirna",3,2.89,0.964,0.4151,FALSE,"GSE161087","unknown",FALSE,FALSE,1,0,2,4681,16.4495570575828,"coherent",NA,4,3,FALSE,"GSE146802"
"cgroup_L5_f2139c4f","CHEBI:94287","erastin","chebi",NA,"erastin","gain","vehicle_untreated",3,2.91,0.97,0.3969,FALSE,"GSE104462","model",FALSE,FALSE,2,0,1,3132,90.6164580850575,"coherent",NA,3,3,TRUE,""
"cgroup_L5_f34ff8df","CHEBI:4911","etoposide","chebi",NA,"etoposide","gain","vehicle_untreated",3,1.26,0.421,0.8839,TRUE,"GSE161803","unknown",FALSE,FALSE,1,0,2,2689,81.1678045463968,"coherent",NA,13,3,FALSE,"GSE102639 GSE120612 GSE126895 GSE134045 GSE148842 GSE161031 GSE211244 GSE226406 GSE68836 GSE84863"
"cgroup_L5_f56d966d","CHEMBL:CHEMBL2177390","IPATASERTIB","chembl",NA,"IPATASERTIB","gain","vehicle_untreated",3,2.94,0.979,0.3874,FALSE,"GSE205730","unknown",FALSE,FALSE,1,0,2,3629,88.1620598089295,"coherent",NA,4,3,FALSE,"GSE223758"
"cgroup_L5_f640365a","CHEBI:50385","hemin","chebi",NA,"hemin","gain","vehicle_untreated",3,2.54,0.846,0.4959,FALSE,"GSE211130","unknown",FALSE,FALSE,1,0,2,982,81.5225228422612,"coherent",NA,4,3,FALSE,"GSE110947"
"cgroup_L5_f9cc41b3","STR:vtp50469","vtp50469","str_literal",NA,"0.1% vtp50469 in chow","gain","vehicle_untreated",3,2,0.667,0.5668,TRUE,"GSE183487","unknown",FALSE,FALSE,1,0,2,634,88.7741503914436,"coherent",NA,3,3,TRUE,""
"cgroup_L5_ff78d2a8","CHEBI:15365","acetylsalicylic acid","chebi",NA,"acetylsalicylic acid","gain","vehicle_untreated",3,1.19,0.398,0.9109,TRUE,"GSE198434","model",FALSE,FALSE,2,0,1,513,44.6655392051841,"coherent",NA,5,3,FALSE,"GSE181638 GSE199800"
